uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão Hospitalar,Tecnológico,Curso a Distância,256.86,,,1,,,,567.56,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Pública,Tecnológico,Matutino,331.00,1,1,,,575.90,568.26,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Pública,Tecnológico,Noturno,360.60,2,1,,,578.60,585.02,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Gestão Pública,Tecnológico,Curso a Distância,360.00,1,,,,534.16,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Gestão Pública,Tecnológico,Curso a Distância,279.00,1,,,,558.42,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão Pública,Tecnológico,Curso a Distância,279.00,,,1,,,,606.54,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gestão Pública,Tecnológico,Noturno,345.36,1,1,,,564.42,567.94,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão Pública,Tecnológico,Curso a Distância,259.91,,,1,,,,515.80,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB III (1051685) - Tambauzinho,Gestão Pública,Tecnológico,Curso a Distância,259.00,1,,,,577.52,,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,História,Licenciatura,Curso a Distância,327.14,1,,,,601.38,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,História,Licenciatura,Curso a Distância,237.00,,,1,,,,544.88,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",História,Licenciatura,Curso a Distância,256.86,,,1,,,,539.22,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Letras - Inglês,Licenciatura,Curso a Distância,327.14,1,,,,622.16,,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Letras - Português,Licenciatura,Curso a Distância,327.14,1,,,,589.46,,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Letras - Português e Espanhol,Licenciatura,Curso a Distância,256.86,,,1,,,,557.60,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Letras - Português e Inglês,Licenciatura,Curso a Distância,269.92,1,,,,586.34,,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Logística,Tecnológico,Noturno,360.60,2,1,,,582.14,570.18,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Logística,Tecnológico,Matutino,331.00,2,1,,,585.92,547.28,,
PB,Joao Pessoa,Centro Universitário de Maringá - Unicesumar - Unicesumar - UNICESUMAR,JOÃO PESSOA - Tambauzinho,Logística,Tecnológico,Curso a Distância,286.02,1,,,,521.10,,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Logística,Tecnológico,Curso a Distância,360.00,1,,,,529.80,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Logística,Tecnológico,Curso a Distância,278.00,1,,,,588.94,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Logística,Tecnológico,Curso a Distância,278.00,1,,,,525.22,,,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Logística,Tecnológico,Matutino,530.78,,,,22,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Logística,Tecnológico,Noturno,530.78,,,,45,,,450.00,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Logística,Tecnológico,Curso a Distância,256.86,,,1,,,,522.60,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB II (7624) - Mangabeira,Logística,Tecnológico,Curso a Distância,209.00,1,1,,,554.98,570.82,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Marketing,Tecnológico,Noturno,360.60,2,1,,,631.60,589.86,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Marketing,Tecnológico,Matutino,331.00,1,1,,,567.02,570.20,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Marketing,Tecnológico,Curso a Distância,270.00,,,1,,,,533.66,
PB,Joao Pessoa,Faculdade Dom Bosco - FDB,POLO JOÃO PESSOA - Centro,Marketing,Tecnológico,Curso a Distância,1195.74,3,2,,,553.62,522.78,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Marketing,Tecnológico,Noturno,451.09,2,2,,,578.22,589.00,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Marketing,Tecnológico,Curso a Distância,256.86,1,,,,514.26,,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Marketing,Tecnológico,Curso a Distância,279.00,1,,,,569.70,,,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB II (7624) - Mangabeira,Marketing,Tecnológico,Curso a Distância,209.00,1,,,,550.02,,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Matemática,Licenciatura,Curso a Distância,327.14,1,,,,605.98,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Matemática,Licenciatura,Curso a Distância,239.00,,,1,,,,598.16,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Matemática,Licenciatura,Curso a Distância,256.86,1,,,,586.48,,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Medicina,Bacharelado,Integral,7686.00,5,4,,,764.32,743.76,,
PB,Joao Pessoa,Faculdade de Ciências Médicas da Paraíba - FCM-PB,LADEIRA DE S FRANCISCO - Centro,Medicina,Bacharelado,Integral,7412.70,8,5,5,3,754.98,733.60,748.78,727.58
PB,Joao Pessoa,Faculdade de Medicina Nova Esperança - FAMENE,CAMPUS  - JOÃO PESSOA - Gramame,Medicina,Bacharelado,Integral,8350.00,4,3,,,759.76,736.94,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Medicina Veterinária,Bacharelado,Matutino,2368.82,4,13,,,630.76,614.90,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Medicina Veterinária,Bacharelado,Noturno,2368.82,4,14,,,614.56,612.38,,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Negócios Imobiliários,Tecnológico,Noturno,386.65,3,2,,35,540.06,552.72,450.00,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Negócios Imobiliários,Tecnológico,Matutino,386.65,3,2,,50,545.80,515.52,450.00,
PB,Joao Pessoa,Centro Universitário Maurício de Nassau - UNINASSAU,POLO JOÃO PESSOA II - Estados,Nutrição,Bacharelado,Curso a Distância,630.81,4,3,,,589.62,590.46,,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Nutrição,Bacharelado,Matutino,831.09,1,,,40,623.50,,506.38,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Nutrição,Bacharelado,Noturno,831.09,1,,,40,576.38,,488.64,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Nutrição,Bacharelado,Matutino,780.22,1,,,,616.96,,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Nutrição,Bacharelado,Noturno,810.82,4,2,,,616.52,591.52,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Nutrição,Bacharelado,Matutino,831.89,2,1,,,606.00,598.94,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Nutrição,Bacharelado,Noturno,831.89,1,,,,600.80,,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Nutrição,Bacharelado,Noturno,718.20,2,1,,,610.82,572.60,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Nutrição,Bacharelado,Matutino,682.29,2,1,,,605.10,570.10,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Odontologia,Bacharelado,Matutino,2488.00,6,4,,,688.72,670.72,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Odontologia,Bacharelado,Noturno,2283.33,4,14,,,640.92,635.74,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Odontologia,Bacharelado,Matutino,2283.33,2,15,,,654.38,660.14,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Odontologia,Bacharelado,Matutino,2266.08,3,2,,,700.12,668.70,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Pedagogia,Licenciatura,Curso a Distância,270.00,,,1,,,,552.68,
PB,Joao Pessoa,Centro Universitário Maurício de Nassau - UNINASSAU,POLO JOÃO PESSOA II - Estados,Pedagogia,Bacharelado,Curso a Distância,177.23,5,3,,,556.16,554.16,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Pedagogia,Licenciatura,Noturno,391.89,2,2,,,583.28,562.86,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Pedagogia,Licenciatura,Matutino,382.57,4,2,,,562.66,571.82,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Pedagogia,Licenciatura,Matutino,429.10,2,1,,,552.04,550.64,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Pedagogia,Licenciatura,Noturno,474.27,2,1,,,564.48,567.42,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,UNIDADE SEDE - Centro,Pedagogia,Licenciatura,Noturno,462.35,2,2,,,576.48,553.38,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Pedagogia,Bacharelado,Noturno,474.27,2,1,,,575.90,546.72,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Pedagogia,Licenciatura,Curso a Distância,269.92,1,,,,551.36,,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Pedagogia,Licenciatura,Curso a Distância,269.00,1,,,,567.40,,,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB II (7624) - Mangabeira,Pedagogia,Licenciatura,Curso a Distância,269.00,2,1,,,624.76,561.36,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Processos Gerenciais,Tecnológico,Curso a Distância,270.00,1,,,,588.54,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Processos Gerenciais,Tecnológico,Curso a Distância,270.00,,,1,,,,617.00,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Processos Gerenciais,Tecnológico,Curso a Distância,256.86,,,1,1,,,582.54,488.32
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Psicologia,Bacharelado,Vespertino,1117.00,6,4,,,639.84,625.08,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Psicologia,Bacharelado,Noturno,1117.00,4,6,,,635.00,604.60,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Psicologia,Bacharelado,Noturno,970.26,3,2,,,613.06,576.44,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Psicologia,Bacharelado,Matutino,842.94,3,2,,,610.84,610.46,,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Psicologia,Bacharelado,Noturno,948.81,2,2,,30,607.76,585.70,532.78,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Psicologia,Bacharelado,Noturno,924.32,5,3,,,614.30,605.86,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Psicologia,Bacharelado,Matutino,806.61,2,2,,,626.40,605.22,,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Publicidade e Propaganda,Bacharelado,Noturno,474.27,2,1,,,602.56,566.94,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Química,Licenciatura,Curso a Distância,235.40,,,1,,,,555.52,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Radiologia,Tecnológico,Noturno,813.54,4,14,,,560.16,547.90,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Radiologia,Tecnológico,Matutino,813.54,4,13,,,553.48,544.52,,
PB,Joao Pessoa,Faculdade de João Pessoa (Santa Emília do Rodat),UNIDADE SEDE - Tambiá,Radiologia,Tecnológico,Noturno,506.70,3,2,,10,575.20,579.00,529.62,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Redes de Computadores,Tecnológico,Noturno,360.60,3,2,,,588.98,585.98,,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Redes de Computadores,Tecnológico,Matutino,386.63,1,,,40,541.22,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Redes de Computadores,Tecnológico,Noturno,386.63,1,,,40,577.04,,450.00,
PB,Joao Pessoa,Faculdade Estácio da Paraíba - ESTÁCIO PARAÍBA,JOÃO PESSOA-IDEZ - Manaíra,Redes de Computadores,Tecnológico,Noturno,455.71,3,2,,,562.68,539.62,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Redes de Computadores,Tecnológico,Noturno,472.00,2,2,,,570.16,563.52,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Redes de Computadores,Tecnológico,Matutino,472.00,2,2,,,562.90,574.02,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Redes de Computadores,Tecnológico,Matutino,473.60,2,1,,,540.16,525.88,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Redes de Computadores,Tecnológico,Noturno,473.60,2,1,,,532.20,544.78,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,JOÃO PESSOA (EPITACIO) - Expedicionário,Secretariado,Tecnológico,Curso a Distância,253.00,1,,,,589.74,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Secretariado,Tecnológico,Curso a Distância,253.00,,,1,,,,479.44,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Secretariado,Tecnológico,Curso a Distância,256.86,,,1,,,,515.32,
PB,Joao Pessoa,Faculdade de João Pessoa (Santa Emília do Rodat),UNIDADE SEDE - Tambiá,Segurança no Trabalho,Tecnológico,Noturno,506.70,2,1,,6,565.08,544.34,465.88,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Segurança no Trabalho,Tecnológico,Noturno,421.58,3,2,,,563.02,564.26,,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Segurança no Trabalho,Tecnológico,Matutino,386.65,3,2,,50,539.60,534.76,450.00,
PB,Joao Pessoa,Faculdade Três Marias - FTM,JOAO PESSOA CENTRO - Miramar,Segurança no Trabalho,Tecnológico,Noturno,386.65,3,2,,35,539.00,533.20,450.12,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Segurança no Trabalho,Tecnológico,Curso a Distância,256.86,,,1,,,,569.06,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Serviço Social,Bacharelado,Curso a Distância,288.00,,,1,,,,546.54,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Serviço Social,Bacharelado,Noturno,560.81,2,1,,,584.38,582.78,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Serviço Social,Bacharelado,Matutino,546.20,6,5,,,570.20,562.52,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Serviço Social,Bacharelado,Matutino,512.17,2,2,,,565.12,576.76,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Serviço Social,Bacharelado,Curso a Distância,269.00,1,1,,,555.18,530.56,,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA I - Tambiá,Serviço Social,Bacharelado,Curso a Distância,199.00,2,1,,,561.58,545.02,,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB II (7624) - Mangabeira,Serviço Social,Bacharelado,Curso a Distância,289.00,4,3,,,550.74,556.36,,
PB,Joao Pessoa,Universidade Pitágoras Unopar,JOAO PESSOA/PB III (1051685) - Tambauzinho,Serviço Social,Bacharelado,Curso a Distância,289.00,4,2,,,554.18,536.04,,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Sistemas de Informação,Bacharelado,Curso a Distância,417.14,1,,,,574.00,,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Sistemas para Internet,Tecnológico,Noturno,360.60,3,2,,,611.56,614.38,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Sociologia,Licenciatura,Curso a Distância,230.00,,,1,,,,527.54,
PB,Joao Pessoa,Universidade Paulista - UNIP,JOAO PESSOA II - Tambauzinho,Sociologia,Licenciatura,Curso a Distância,149.00,1,,,,587.90,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Teologia,Bacharelado,Curso a Distância,189.00,,,1,,,,568.88,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Teologia,Bacharelado,Curso a Distância,189.00,1,,1,1,631.42,,604.00,529.30
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Teologia,Bacharelado,Curso a Distância,256.86,,,1,,,,561.42,
PB,Joao Pessoa,Faculdade Paraíbana - FAP,CAMPUS  - JOÃO PESSOA - MIRAMAR - Miramar,Turismo,Bacharelado,Noturno,474.27,2,1,,,580.22,558.24,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Turismo,Bacharelado,Noturno,560.89,2,1,,,591.16,548.48,,
