uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Engenharia Civil,Bacharelado,Noturno,812.38,1,1,,,576.28,579.72,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Engenharia Civil,Bacharelado,Matutino,771.76,2,1,,,609.12,594.06,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Engenharia de Computação,Bacharelado,Curso a Distância,590.00,,,1,,,,594.60,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia de Controle e Automação,Bacharelado,Noturno,1020.49,,,,50,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia de Controle e Automação,Bacharelado,Matutino,1020.49,,,,50,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia de Produção,Bacharelado,Noturno,1020.49,,,,90,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia de Produção,Bacharelado,Matutino,1020.49,,,,90,,,450.00,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Engenharia de Produção,Bacharelado,Matutino,821.00,4,2,,,631.02,605.12,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Engenharia de Produção,Bacharelado,Noturno,812.38,2,1,,,624.02,587.10,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Engenharia de Produção,Bacharelado,Matutino,771.76,2,1,,,607.14,571.98,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Engenharia de Produção,Bacharelado,Curso a Distância,439.79,1,,1,1,647.12,,594.70,569.30
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia Elétrica,Bacharelado,Noturno,858.39,1,,,50,637.84,,498.68,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia Elétrica,Bacharelado,Matutino,858.39,1,,,50,614.54,,450.00,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Engenharia Elétrica,Bacharelado,Noturno,983.62,1,1,,,628.00,663.48,,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia Mecânica,Bacharelado,Noturno,1020.49,,,,50,,,450.00,
PB,Joao Pessoa,Faculdade Devry João Pessoa - DVJP,CAMPUS SEDE - Miramar,Engenharia Mecânica,Bacharelado,Matutino,1020.49,,,,50,,,450.00,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Engenharia Mecânica,Bacharelado,Noturno,983.62,1,1,,,678.14,659.40,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Engenharia Química,Bacharelado,Noturno,983.62,2,2,,,622.74,617.00,,
PB,Joao Pessoa,Faculdade de João Pessoa (Santa Emília do Rodat),UNIDADE SEDE - Tambiá,Estética e Cosmética,Tecnológico,Noturno,506.70,2,1,,6,616.78,558.98,552.12,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Estética e Cosmética,Tecnológico,Noturno,472.72,1,1,,,584.06,550.76,,
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,UNIDADE SEDE - Tambiá,Estética e Cosmética,Tecnológico,Matutino,472.72,1,1,,,562.98,568.74,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Estética e Cosmética,Tecnológico,Noturno,521.27,1,1,,,627.46,686.02,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Eventos,Tecnológico,Noturno,429.10,2,1,,,579.22,536.94,,
PB,Joao Pessoa,Faculdade Anglo-Americano de João Pessoa - FAAJP,JOÃO PESSOA-CENTRO - Centro,Farmácia,Bacharelado,Matutino,921.00,3,2,,,584.78,587.22,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Farmácia,Bacharelado,Matutino,1026.48,2,15,,,593.04,616.44,,
PB,Joao Pessoa,Faculdade de Enfermagem Nova Esperança - FACENE,CAMPUS  - JOÃO PESSOA - Gramame,Farmácia,Bacharelado,Noturno,1026.48,5,13,,,585.82,582.66,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Farmácia,Bacharelado,Noturno,885.98,4,3,,,616.64,617.48,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Farmácia,Bacharelado,Matutino,839.80,3,2,,,605.52,601.46,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Farmácia,Bacharelado,Noturno,718.21,2,2,,,577.34,564.34,,
PB,Joao Pessoa,Instituto Paraibano de Ensino Renovado - INPER,CAMPUS  - JOÃO PESSOA - JARDIM MARIZÓPOLIS - Jardim Marizópolis,Farmácia,Bacharelado,Matutino,682.29,2,1,,,621.56,581.34,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Filosofia,Licenciatura,Curso a Distância,237.00,1,,1,,630.92,,534.46,
